IMPORT/EXPORT (Quantity in '000 Metric Tonnes),PRODUCT,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,JANUARY,FEBRUARY,MARCH,TOTAL
IMPORT, CRUDE OIL,21626,19644,19441,20624,17637,16772,18123,19003,19618,20058,19285,20729,232561
IMPORT,LPG,1605,1363,1264,1417,1574,1448,1374,1778,1718,1709,1647,1410,18309
IMPORT,MS,0,30,127,63,0,190,327,211,120,0,0,0,1069
IMPORT,Naphtha,35,30,2,145,90,76,135,28,88,67,121,117,936
IMPORT,ATF,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPORT,SKO,0,0,0,0,0,0,0,0,0,0,0,0,0
IMPORT,HSD,3,9,115,146,8,2,10,7,12,6,6,6,327
IMPORT,LOBS/ Lube oil,230,214,181,222,165,133,212,159,139,191,199,191,2235
IMPORT,Fuel Oil,996,482,601,749,702,567,655,569,963,900,633,739,8555
IMPORT,Bitumen,258,251,210,120,64,116,226,346,283,219,223,219,2536
IMPORT,Petcoke,892,709,544,793,466,539,855,847,595,648,648,648,8186
IMPORT,Others&,157,198,95,84,140,89,96,94,130,188,95,313,1681
IMPORT,PRODUCT IMPORT*,4177,3285,3140,3739,3209,3161,3891,4039,4049,3928,3573,3644,43833
IMPORT,TOTAL IMPORT,25803,22929,22581,24363,20846,19933,22014,23042,23667,23986,22858,24372,276394
EXPORT,LPG,47,47,50,41,39,40,43,41,44,47,42,51,534
EXPORT,MS!,1402,1157,1162,1109,1018,671,500,842,1242,1165,1379,1470,13118
EXPORT,Naphtha$,611,556,815,355,414,468,372,423,441,333,416,511,5714
EXPORT,ATF#,350,448,591,583,745,689,639,591,624,568,650,786,7264
EXPORT,SKO,2,1,1,1,0,1,1,1,1,1,1,1,11
EXPORT,HSD,2698,3063,2456,2188,2365,2689,2062,1979,2413,1991,2150,2482,28535
EXPORT,LDO,0,0,0,0,0,0,0,0,0,0,0,0,1
EXPORT,LOBS/ Lube Oil,5,0,1,1,0,1,0,1,1,1,0,1,12
EXPORT,Fuel Oil,42,77,127,186,221,156,229,159,248,179,76,141,1841
EXPORT,Bitumen,0,0,1,0,0,2,2,0,0,0,0,3,9
EXPORT,Petcoke / CBFS,4,33,36,11,39,17,0,0,0,0,22,123,284
EXPORT,Others%,275,300,267,214,398,254,123,229,684,215,320,435,3717
EXPORT,TOTAL  PRODUCT EXPORT,5437,5682,5506,4689,5240,4987,3972,4266,5697,4501,5056,6006,61039
NET IMPORT,NET IMPORT,20366,17247,17074,19674,15606,14946,18043,18776,17969,19485,17801,18367,215355
